Entry	Gene Names (primary)	Gene Names (ordered locus)	Pathway	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	STRING	eggNOG	OrthoDB	UniPathway	CDD	PROSITE	SMART	Pfam	InterPro	Gene Names
A0A510N6Y3	pilC1				integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]									PF00482;	IPR018076;IPR042094;	pilC1 VNG_0822C
A0A510N6Y6														PF19138;	IPR043859;	VNG_1412H
A0A510N6Y9						hydrolase activity [GO:0016787]								PF13419;	IPR036412;IPR041492;IPR023214;IPR023198;	VNG_1480C
A0A510N700					integral component of membrane [GO:0016021]									PF04238;	IPR007352;	VNG_1492C
A0A510N705																VNG_1438a
A0A510N706																VNG_1380H
A0A510N712														PF00582;	IPR014729;IPR006016;	VNG_0861H
A0A510N713	dna2			DNA replication, Okazaki fragment processing [GO:0033567]		5'-flap endonuclease activity [GO:0017108]; single-stranded DNA helicase activity [GO:0017116]					cd18808;			PF13086;PF13087;PF12705;	IPR026851;IPR045055;IPR041679;IPR041677;IPR027417;IPR011604;IPR038726;	dna2 VNG_1501G
A0A510N714																VNG_1453H
A0A510N715																VNG_1413H
A0A510N716	lsm												SM00651;	PF01423;	IPR001163;IPR010920;	lsm snp VNG_1496G
A0A510N720						nucleic acid binding [GO:0003676]						PS50126;	SM00316;	PF00575;PF01336;	IPR012340;IPR004365;IPR022967;IPR003029;	VNG_1511C
A0A510N721																VNG_1520a
A0A510N722	bat			phosphorelay signal transduction system [GO:0000160]							cd00130;	PS50113;PS50112;PS50110;	SM00086;	PF15915;PF13185;PF04967;PF13426;	IPR031803;IPR003018;IPR029016;IPR007050;IPR001610;IPR000014;IPR000700;IPR035965;IPR001789;	bat VNG_1464G
A0A510N727																VNG_1404a
A0A510N728	birA1			cellular protein modification process [GO:0006464]; regulation of transcription, DNA-templated [GO:0006355]		biotin-[acetyl-CoA-carboxylase] ligase activity [GO:0004077]					cd16442;cd00090;	PS51733;		PF02237;PF03099;PF08279;	IPR045864;IPR011991;IPR030855;IPR004408;IPR003142;IPR004143;IPR013196;IPR036388;IPR036390;	birA1 VNG_1534a
A0A510N729					integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]									PF13194;PF02308;	IPR025105;IPR003416;	VNG_1525C
A0A510N730																VNG_1417H
A0A510N731						acyltransferase activity [GO:0016746]; hydrolase activity [GO:0016787]								PF12697;	IPR029058;IPR000073;	VNG_1474G
A0A510N741	dpd					oxidoreductase activity [GO:0016491]								PF01207;	IPR013785;IPR035587;	dpd VNG_1431C
A0A510N743	pduO					ATP binding [GO:0005524]; cob(I)yrinic acid a,c-diamide adenosyltransferase activity [GO:0008817]								PF01923;	IPR016030;IPR036451;IPR029499;	pduO VNG_1547C
A0A510N750					integral component of membrane [GO:0016021]											VNG_1498a
A0A510N751														PF07311;	IPR009923;IPR025543;IPR036694;	VNG_1446H
A0A510N756														PF04784;	IPR006869;	VNG_1546a
A0A510N760																VNG_1513H
A0A510N761						N-acetyltransferase activity [GO:0008080]						PS51186;		PF00583;	IPR016181;IPR000182;	VNG_1457C
A0A510N763	cobT					nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity [GO:0008939]					cd02439;				IPR003200;IPR002805;IPR036087;	cobT VNG_1572C
A0A510N764														PF03214;	IPR037595;	VNG_0925C
A0A510N765	cbiX1			cobalamin biosynthetic process [GO:0009236]		metal ion binding [GO:0046872]; sirohydrochlorin cobaltochelatase activity [GO:0016852]								PF01903;	IPR002762;IPR036249;	cbiX1 VNG_1561C
A0A510N766	cbiZ					adenosylcobinamide hydrolase activity [GO:0043756]								PF01955;	IPR002808;	cbiZ VNG_1583C
A0A510N775				nitrogen compound metabolic process [GO:0006807]		hydrolase activity [GO:0016787]						PS50263;		PF00795;	IPR003010;IPR036526;	VNG_0936C
A0A510N776																VNG_1486a
A0A510N781					integral component of membrane [GO:0016021]									PF19139;	IPR043860;	VNG_1479H
A0A510N782	cobY					cobinamide phosphate guanylyltransferase activity [GO:0008820]								PF12804;	IPR025877;IPR029044;	cobY VNG_1581C
A0A510N788						ribonuclease activity [GO:0004540]								PF01936;	IPR021139;IPR028082;	VNG_1608C
A0A510N793	tfx			DNA-templated transcription, initiation [GO:0006352]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]								PF04545;PF14601;	IPR007630;IPR029291;IPR004645;IPR036657;	tfx VNG_1598a
A0A510N795						DNA binding [GO:0003677]					cd00093;	PS50943;	SM00530;		IPR001387;IPR010982;IPR017271;	VNG_1616C
A0A510N7A4					integral component of membrane [GO:0016021]										IPR013783;	VNG_1613H
A0A510N7A9						hydrolase activity [GO:0016787]									IPR036412;IPR006439;IPR023214;	VNG_1577C
A0A510N7C0	trpG1			organic substance metabolic process [GO:0071704]		anthranilate synthase activity [GO:0004049]					cd01743;			PF00117;	IPR029062;IPR017926;IPR006221;	trpG1 VNG_1646G
A0A510N7D1	cdc48a					ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]						PS00674;	SM00382;SM01072;SM01073;	PF00004;PF17862;PF02933;PF02359;	IPR003593;IPR005938;IPR041569;IPR009010;IPR003959;IPR003960;IPR004201;IPR029067;IPR003338;IPR027417;	cdc48a aaa5 VNG_1667G
A0A510N7F4					integral component of membrane [GO:0016021]						cd06257;	PS50076;	SM00271;	PF00226;	IPR001623;IPR036869;	VNG_1675H
A0A510N7F6												PS51318;			IPR006311;	VNG_1595C
A0A510N7F7	rps4e			translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]					cd06087;	PS00528;		PF00900;PF08071;	IPR041982;IPR014722;IPR000876;IPR013845;IPR038237;IPR013843;IPR018199;IPR036986;	rps4e VNG_1703G
A0A510N7J0	lyeJ				integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]								PF01040;	IPR000537;IPR044878;	lyeJ ubiA1 VNG_1682C
A0A510N7J5					integral component of membrane [GO:0016021]									PF00892;	IPR000620;	VNG_1626C
A0A510N7J9					integral component of membrane [GO:0016021]											VNG_1090a
A0A510N7K6					integral component of membrane [GO:0016021]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]						PS50011;		PF03109;	IPR004147;IPR011009;IPR000719;	VNG_1770C
A0A510N7K7																VNG_1740a
A0A510N7K8																VNG_1762b
A0A510N7L0					integral component of membrane [GO:0016021]											VNG_1762a
A0A510N7L3	cre2					hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]								PF02633;	IPR024087;IPR003785;	cre2 VNG_1769C
A0A510N7L7					integral component of membrane [GO:0016021]									PF01940;	IPR002794;	VNG_1782C
A0A510N7M5	uppS2					transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]								PF01255;	IPR001441;IPR036424;	uppS2 VNG_1781C
A0A510N7M8					integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]						PS50283;		PF00474;	IPR038377;IPR001734;	VNG_1785G
A0A510N7N2						hydrolase activity [GO:0016787]								PF13419;	IPR036412;IPR006439;IPR041492;IPR023214;	VNG_1675a
A0A510N7N8														PF13468;	IPR029068;IPR025870;	VNG_1144H
A0A510N7P2											cd18086;			PF02598;	IPR029028;IPR012340;IPR003750;IPR029026;	VNG_1688C
A0A510N7P8	rps28e			translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]					cd04457;			PF01200;	IPR012340;IPR000289;	rps28e VNG_1158G
A0A510N7Q6																VNG_1170a
A0A510N7R0						antioxidant activity [GO:0016209]; oxidoreductase activity [GO:0016491]						PS51352;		PF00578;	IPR000866;IPR036249;IPR013766;	VNG_1834G
A0A510N7S0						N-acetyltransferase activity [GO:0008080]						PS51186;		PF00583;	IPR016181;IPR000182;	VNG_1845C
A0A510N7S4					integral component of membrane [GO:0016021]							PS51318;			IPR006311;	VNG_1831H
A0A510N7S7					integral component of membrane [GO:0016021]											VNG_1796a
A0A510N7S8	pchA1				integral component of membrane [GO:0016021]	potassium channel activity [GO:0005267]						PS51201;		PF07885;PF02254;	IPR003280;IPR013099;IPR036291;IPR003148;	pchA1 VNG_1847G
A0A510N7S9	samp1													PF02597;	IPR012675;IPR010038;IPR016155;IPR003749;	samp1 VNG_1848H
A0A510N7T2														PF19118;	IPR043825;	VNG_1842a
A0A510N7T6					integral component of membrane [GO:0016021]											VNG_1205a
A0A510N7U1														PF13416;	IPR006059;	VNG_1869C
A0A510N7U2					integral component of membrane [GO:0016021]									PF01889;	IPR002749;	VNG_1852H
A0A510N7U6						metal ion binding [GO:0046872]						PS51901;PS51371;	SM00116;	PF00571;	IPR044065;IPR000644;IPR046342;	VNG_1218C
A0A510N7W0					integral component of plasma membrane [GO:0005887]	transmembrane transporter activity [GO:0022857]								PF00893;	IPR000390;IPR045324;	VNG_1886a
A0A510N7W5					integral component of membrane [GO:0016021]									PF04982;	IPR007065;	VNG_1849H
A0A510N7W7												PS51318;			IPR006311;	VNG_1787H
A0A510N7W8														PF00582;	IPR014729;IPR006015;IPR006016;	VNG_1898C
A0A510N7W9				carbohydrate metabolic process [GO:0005975]										PF03190;	IPR008928;IPR012341;IPR004879;IPR024705;IPR036249;	VNG_1905C
A0A510N7X0						ATP binding [GO:0005524]						PS51146;		PF06745;	IPR022420;IPR014774;IPR010624;IPR027417;	VNG_1899G
A0A510N7X3																VNG_1907H
A0A510N7X4					integral component of membrane [GO:0016021]									PF07187;	IPR009845;	VNG_1791C
A0A510N7X6														PF01978;	IPR002831;IPR036388;IPR036390;	VNG_1903C
A0A510N7X7					integral component of membrane [GO:0016021]											VNG_1907b
A0A510N7X8																VNG_1907a
A0A510N7Y7	nolA													PF13460;	IPR016040;IPR036291;	nolA VNG_1932G
A0A510N7Y9	ppiA			protein folding [GO:0006457]		peptidyl-prolyl cis-trans isomerase activity [GO:0003755]						PS00170;PS50072;		PF00160;	IPR029000;IPR024936;IPR020892;IPR002130;IPR044666;	ppiA VNG_1914G
A0A510N7Z4	jamm1					isopeptidase activity [GO:0070122]; metal ion binding [GO:0046872]; metal-dependent deubiquitinase activity [GO:0140492]						PS50249;	SM00232;	PF14464;	IPR028090;IPR000555;IPR037518;	jamm1 VNG_1818a
A0A510N7Z6	oxdhA2			organic acid metabolic process [GO:0006082]; organic substance biosynthetic process [GO:1901576]; sulfur compound biosynthetic process [GO:0044272]		oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor [GO:0016624]								PF00676;	IPR001017;IPR017596;IPR029061;	oxdhA2 VNG_1926G
A0A510N806																VNG_1838H
A0A510N812																VNG_1956a
A0A510N826															IPR027417;	VNG_1963a
A0A510N831					integral component of membrane [GO:0016021]											VNG_1983a
A0A510N839	nob1					endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]					cd09876;			PF17146;	IPR039907;IPR029060;IPR033411;	nob1 VNG_1994C
A0A510N868	fadA1					enoyl-CoA hydratase activity [GO:0004300]						PS00166;		PF00378;	IPR029045;IPR018376;IPR001753;	fadA1 VNG_2032G
A0A510N873														PF18754;	IPR041135;	VNG_2028H
A0A510N874						DNA binding [GO:0003677]								PF01984;	IPR022889;IPR002836;IPR036883;	VNG_2008H
A0A510N875	trkA6				plasma membrane [GO:0005886]	potassium ion transmembrane transporter activity [GO:0015079]						PS51202;PS51201;		PF02080;PF02254;	IPR006036;IPR036291;IPR006037;IPR036721;IPR003148;	trkA6 VNG_1924G
A0A510N881																VNG_2042H
A0A510N883	hemQ					heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]						PS51725;		PF03992;PF06778;	IPR007138;IPR010644;IPR011008;	hemQ VNG_2021C
A0A510N884																VNG_2041a
A0A510N886	cofH					iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; transferase activity [GO:0016740]						PS51918;	SM00729;	PF19288;PF04055;	IPR013785;IPR045567;IPR006638;IPR034405;IPR007197;	cofH VNG_1938C
A0A510N888														PF19100;	IPR043901;	VNG_2059H
A0A510N894												PS51371;	SM00116;	PF00571;	IPR000644;IPR046342;	VNG_1949G
A0A510N8A6	kef1				integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	potassium ion transmembrane transporter activity [GO:0015079]; solute:proton antiporter activity [GO:0015299]						PS51202;PS51201;		PF00999;PF02080;PF02254;	IPR006153;IPR006036;IPR038770;IPR036291;IPR006037;IPR036721;IPR003148;	kef1 VNG_2068C
A0A510N8A8					integral component of membrane [GO:0016021]											VNG_2021a
A0A510N8B6														PF01949;	IPR002802;	VNG_2081a
A0A510N8B8																VNG_2034a
A0A510N8C5					integral component of membrane [GO:0016021]	hydrolase activity [GO:0016787]							SM00014;	PF01569;	IPR036938;IPR000326;	VNG_2091H
A0A510N8C9	phnC				plasma membrane [GO:0005886]	ABC-type phosphonate transporter activity [GO:0015416]; ATP binding [GO:0005524]					cd03256;	PS00211;PS50893;PS00675;	SM00382;	PF00005;	IPR003593;IPR003439;IPR017871;IPR012693;IPR027417;IPR025662;	phnC VNG_2085G
A0A510N8D6	brz															brz VNG_1466H
A0A510N8E2	pepF					metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]								PF01432;PF08439;	IPR013647;IPR042088;IPR045090;IPR001567;IPR004438;	pepF VNG_2001G
A0A510N8E3	aaa7					ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]						PS00674;	SM00382;	PF00004;PF17862;	IPR003593;IPR041569;IPR003959;IPR003960;IPR027417;	aaa7 VNG_2062G
A0A510N8F2																VNG_2014a
A0A510N8G7														PF20127;	IPR045396;	VNG_2039H
A0A510N8H1	fer1					2 iron, 2 sulfur cluster binding [GO:0051537]					cd06257;cd00207;	PS00197;PS51085;PS50076;	SM00271;	PF00226;PF00111;	IPR036010;IPR001041;IPR006058;IPR012675;IPR001623;IPR036869;	fer1 VNG_2132G
A0A510N8H3																VNG_1500H
A0A510N8H5																VNG_2147a
A0A510N8H7	atpK				integral component of membrane [GO:0016021]; proton-transporting V-type ATPase, V0 domain [GO:0033179]	proton-transporting ATPase activity, rotational mechanism [GO:0046961]								PF00137;	IPR002379;IPR000245;IPR035921;	atpK VNG_2143G
A0A510N8H9	manC			biosynthetic process [GO:0009058]		mannose-1-phosphate guanylyltransferase activity [GO:0004475]								PF00483;	IPR005835;IPR029044;	manC VNG_2159G
A0A510N8I2												PS50926;		PF01938;	IPR012340;IPR002792;	VNG_2157C
A0A510N8I3	rpa3														IPR012340;	rpa3 VNG_2160C
A0A510N8J0	ashA			DNA repair [GO:0006281]		ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]						PS51192;PS51194;	SM00487;SM00490;	PF00270;PF00271;	IPR011545;IPR014001;IPR001650;IPR027417;	ashA VNG_2173G
A0A510N8J3														PF07883;	IPR013096;IPR014710;IPR011051;	VNG_2170H
A0A510N8J6	rpl40e			translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]							SM01377;	PF01020;	IPR038587;IPR001975;IPR023657;IPR011332;	rpl40e VNG_2076G
A0A510N8J7														PF19131;	IPR043852;	VNG_2164C
A0A510N8K2																VNG_2178a
A0A510N8K3					integral component of membrane [GO:0016021]	phosphorelay sensor kinase activity [GO:0000155]					cd00082;		SM00388;	PF00512;PF16927;	IPR036890;IPR003661;IPR036097;IPR031621;	VNG_2180C
A0A510N8L6	cbaB				integral component of membrane [GO:0016021]	copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]					cd13913;	PS00078;PS50857;		PF00116;	IPR034214;IPR002429;IPR001505;IPR008972;	cbaB cox2B coxB2 VNG_2195G
A0A510N8M1						DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]					cd00093;	PS50943;	SM00530;	PF01381;	IPR020886;IPR001387;IPR010982;	VNG_2112C
A0A510N8M2					integral component of membrane [GO:0016021]											VNG_2202H
A0A510N8M5	cobN			cobalamin biosynthetic process [GO:0009236]		cobaltochelatase activity [GO:0051116]					cd10150;			PF02514;	IPR011953;IPR003672;	cobN VNG_1566G
A0A510N8N1	oxdhB			organic acid metabolic process [GO:0006082]; organic substance biosynthetic process [GO:1901576]; sulfur compound biosynthetic process [GO:0044272]		3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity [GO:0003863]							SM00861;	PF02779;PF02780;	IPR029061;IPR009014;IPR005475;IPR033248;	oxdhB VNG_2218G
A0A510N8N3	oxdhA1			organic acid metabolic process [GO:0006082]; organic substance biosynthetic process [GO:1901576]; sulfur compound biosynthetic process [GO:0044272]		3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity [GO:0003863]								PF00676;	IPR001017;IPR017596;IPR029061;	oxdhA1 VNG_2217G
A0A510N8Q5	trmG10					tRNA (guanine-N2-)-methyltransferase activity [GO:0004809]						PS01261;		PF01170;	IPR000241;IPR029063;IPR005885;	trmG10 VNG_2242C
A0A510N8Q7					integral component of membrane [GO:0016021]											VNG_2246H
A0A510N8Q9					integral component of membrane [GO:0016021]											VNG_2236H
A0A510N8R1						catalytic activity [GO:0003824]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]									IPR013785;IPR040087;IPR007197;	VNG_2155C
A0A510N8S2						oxidoreductase activity [GO:0016491]								PF03435;	IPR036291;IPR005097;	VNG_2166C
A0A510N8S9	samp2													PF02597;	IPR016155;IPR003749;	samp2 VNG_2279H
A0A510N8T2					integral component of membrane [GO:0016021]											VNG_2177a
A0A510N8T5												PS50164;		PF01541;	IPR000305;IPR035901;	VNG_2274C
A0A510N8T6						N-acetyltransferase activity [GO:0008080]						PS51186;		PF13673;	IPR016181;IPR000182;	VNG_2277H
A0A510N8T7					integral component of membrane [GO:0016021]											VNG_2179H
A0A510N8T8																VNG_1649a
A0A510N8U2	parA11													PF13614;	IPR025669;IPR027417;	parA11 VNG_2185a
A0A510N8V0					integral component of membrane [GO:0016021]									PF13386;	IPR039447;	VNG_2199H
A0A510N8V2														PF09186;PF01205;	IPR035647;IPR023582;IPR001498;IPR036956;IPR020568;IPR015269;	VNG_2298a
A0A510N8V6												PS51318;PS51352;		PF13462;	IPR006311;IPR012336;IPR036249;IPR013766;	VNG_2282C
A0A510N8V9												PS51671;			IPR045865;IPR002912;IPR014424;	VNG_2296C
A0A510N8W4																VNG_2312a
A0A510N8W5					integral component of membrane [GO:0016021]											VNG_2313H
A0A510N8W6	fdx					2 iron, 2 sulfur cluster binding [GO:0051537]					cd00207;	PS00197;PS51085;		PF00111;	IPR036010;IPR001041;IPR006058;IPR012675;	fdx fer2 VNG_2293G
A0A510N8X4																VNG_2321a
A0A510N8X6														PF04312;	IPR007408;	VNG_2238C
A0A510N8X7				CAAX-box protein processing [GO:0071586]	integral component of membrane [GO:0016021]	metalloendopeptidase activity [GO:0004222]								PF02517;	IPR003675;	VNG_2324H
A0A510N8X9																VNG_2315H
A0A510N8Y3					integral component of membrane [GO:0016021]	iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491]						PS00198;PS51379;		PF02754;PF13187;	IPR017896;IPR017900;IPR004017;IPR009051;IPR036197;	VNG_2320G
A0A510N8Y4	rpl29			translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]						PS00579;		PF00831;	IPR001854;IPR036049;IPR018254;	rpl29 VNG_1698G
A0A510N8Y6														PF19095;	IPR043952;	VNG_2335H
A0A510N903	dppD3			peptide transport [GO:0015833]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]						PS00211;PS50893;	SM00382;	PF00005;PF08352;	IPR003593;IPR003439;IPR017871;IPR013563;IPR027417;	dppD3 VNG_2363G
A0A510N908	dppA1											PS51318;		PF00496;PF10518;	IPR039424;IPR000914;IPR006311;IPR019546;	dppA1 VNG_2349G
A0A510N917														PF06677;	IPR009563;IPR022954;	VNG_2366C
A0A510N919	crtI2		PATHWAY: Carotenoid biosynthesis. {ECO:0000256|ARBA:ARBA00004829}.	carotenoid biosynthetic process [GO:0016117]		oxidoreductase activity [GO:0016491]								PF01593;	IPR002937;IPR014105;IPR036188;	crtI2 VNG_1755G
